Comment,Designator,Footprint,LCSC Part #
3.3k,R5,R0402,
5.1k,R3 R10,R0402,
10k,R1,R0402,
22uF,C2,C0402,
100nF,C1 C5,C0402,
ESP-12,U1,ESP12-SMD,C82898
JST-SH_2P,J1,1X02_1MM_RA,C160402
RED,CHARGING,CHIP-LED0603,C2286
1.5M,R6,R0402,
1k,R20,R0402,
1k65,R15,R0402,
2M,R19,R0402,
3k3,R16,R0402,
10k,R2 R4 R8 R9 R11 R12 R13 R14 R17,R0402,
10uF/16V,C3 C4 C6,C0603,C19666
22uF,C10,C0603,
100k,R18,R0402,
100n,C11 C12,C0402,
100nF,C7,C0402,
620k,R7,R0402,
AO3401,Q2,SOT23,
BAT60B,D1 D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
JST-SH 4P,J2,1X04_1MM_RA,C970137
MMDT3904,Q1,SC70-6,C268586
RT9080-33GJ5,LDO,SOT94P280X100-5N,
TP4054,CH,SOT-23-5,C32574
TS-1088R-02026,RESET,1TS003B16003500A,C255808
USB-C_GT-USB-7010B,J3,G-SWITCH_GT-USB-7010B,C2837092
